order_id,user_id,product_id,quantity,amount,order_date
1682,487,100085,87,185,2024-03-06
1683,514,100019,5,241,2024-03-06
1684,490,100072,18,15,2024-03-06
1685,514,100080,100,144,2024-03-06
1686,505,100021,73,193,2024-03-06
1687,516,100014,32,76,2024-03-06
1688,517,100019,32,128,2024-03-06
1689,495,100005,81,87,2024-03-06
1690,482,100007,12,192,2024-03-06
1691,494,100084,4,108,2024-03-06
1692,493,100026,31,228,2024-03-06
1693,505,100009,98,84,2024-03-06
1694,514,100095,93,41,2024-03-06
1695,513,100054,32,28,2024-03-06
1696,513,100013,66,141,2024-03-06
1697,491,100096,26,110,2024-03-06
1698,512,100098,21,189,2024-03-06
1699,504,100031,90,49,2024-03-06
1700,516,100078,57,223,2024-03-06
1701,512,100096,98,55,2024-03-06
1702,493,100028,74,242,2024-03-06
1703,483,100001,61,202,2024-03-06
1704,490,100064,87,121,2024-03-06
1705,507,100067,98,199,2024-03-06
1706,483,100022,53,84,2024-03-06
1707,489,100080,26,35,2024-03-06
1708,514,100082,67,186,2024-03-06
1709,500,100044,65,122,2024-03-06
1710,517,100094,66,172,2024-03-06
1711,487,100082,92,100,2024-03-06
1712,498,100005,38,75,2024-03-06
1713,507,100015,74,76,2024-03-06
1714,487,100049,86,224,2024-03-06
1715,490,100055,84,209,2024-03-06
1716,517,100018,92,101,2024-03-06
1717,490,100080,98,249,2024-03-06
1718,492,100037,9,204,2024-03-06
1719,489,100063,74,207,2024-03-06
1720,485,100003,64,71,2024-03-06
1721,485,100097,30,178,2024-03-06
1722,495,100013,50,26,2024-03-06
1723,513,100038,52,93,2024-03-06
1724,516,100005,70,143,2024-03-06
1725,500,100028,12,158,2024-03-06
1726,516,100090,33,19,2024-03-06
1727,482,100067,27,180,2024-03-06
1728,484,100094,42,166,2024-03-06
1729,504,100077,81,21,2024-03-06
1730,494,100021,49,67,2024-03-06
1731,482,100092,59,217,2024-03-06
1732,515,100051,76,158,2024-03-06
1733,490,100054,17,203,2024-03-06
1734,505,100036,90,18,2024-03-06
1735,505,100015,7,244,2024-03-06
1736,515,100012,32,44,2024-03-06
1737,493,100011,68,153,2024-03-06
1738,507,100006,83,52,2024-03-06
1739,506,100037,39,23,2024-03-06
1740,501,100055,65,87,2024-03-06
1741,481,100098,50,42,2024-03-06
1742,516,100001,45,173,2024-03-06
1743,513,100046,26,139,2024-03-06
1744,516,100068,86,65,2024-03-06
1745,488,100074,79,16,2024-03-06
1746,503,100035,43,75,2024-03-06
1747,482,100077,36,139,2024-03-06
1748,516,100024,53,126,2024-03-06
1749,487,100085,93,163,2024-03-06
1750,484,100089,59,77,2024-03-06
1751,512,100009,87,84,2024-03-06
1752,504,100059,97,48,2024-03-06
1753,503,100082,55,37,2024-03-06
1754,486,100051,46,196,2024-03-06
1755,487,100097,51,222,2024-03-06
1756,490,100044,37,24,2024-03-06
1757,516,100006,44,39,2024-03-06
1758,500,100053,14,212,2024-03-06
1759,514,100034,26,11,2024-03-06
1760,515,100019,1,249,2024-03-06
1761,486,100085,57,111,2024-03-06
1762,515,100031,4,25,2024-03-06
1763,501,100066,72,15,2024-03-06
1764,507,100055,24,247,2024-03-06
1765,489,100006,50,182,2024-03-06
1766,506,100078,3,18,2024-03-06
1767,482,100030,57,235,2024-03-06
1768,496,100020,10,44,2024-03-06
1769,514,100084,84,35,2024-03-06
1770,491,100083,70,49,2024-03-06
1771,516,100049,23,89,2024-03-06
1772,508,100089,70,59,2024-03-06
1773,502,100087,75,96,2024-03-06
1774,486,100094,55,88,2024-03-06
1775,480,100075,41,127,2024-03-06
1776,504,100085,59,184,2024-03-06
1777,513,100065,32,69,2024-03-06
1778,480,100024,100,156,2024-03-06
1779,485,100099,54,17,2024-03-06
1780,492,100041,87,191,2024-03-06
1781,513,100074,38,192,2024-03-06
1782,509,100090,47,159,2024-03-06
1783,486,100031,50,13,2024-03-06
1784,482,100060,92,124,2024-03-06
1785,505,100079,49,223,2024-03-06
1786,491,100075,38,166,2024-03-06
1787,513,100011,96,74,2024-03-06
1788,485,100060,14,181,2024-03-06
1789,498,100059,53,130,2024-03-06
1790,506,100081,34,139,2024-03-06
1791,485,100033,93,98,2024-03-06
1792,492,100066,42,202,2024-03-06
1793,505,100016,35,179,2024-03-06
1794,485,100081,53,165,2024-03-06
1795,511,100006,66,116,2024-03-06
1796,507,100079,98,222,2024-03-06
1797,508,100002,11,144,2024-03-06
1798,513,100094,24,105,2024-03-06
1799,503,100037,15,211,2024-03-06
1800,489,100064,67,149,2024-03-06
1801,506,100097,68,173,2024-03-06
1802,497,100099,77,70,2024-03-06
1803,482,100090,4,26,2024-03-06
1804,504,100060,8,95,2024-03-06
1805,490,100092,57,46,2024-03-06
1806,514,100093,24,229,2024-03-06
1807,489,100050,93,178,2024-03-06
1808,513,100032,31,127,2024-03-06
1809,503,100019,85,81,2024-03-06
1810,517,100028,41,150,2024-03-06
1811,491,100098,83,78,2024-03-06
1812,517,100089,48,113,2024-03-06
1813,500,100076,73,25,2024-03-06
1814,490,100037,82,142,2024-03-06
1815,491,100040,45,191,2024-03-06
1816,512,100001,19,15,2024-03-06
1817,480,100014,28,190,2024-03-06
1818,511,100070,7,19,2024-03-06
1819,503,100053,35,199,2024-03-06
1820,508,100086,90,244,2024-03-06
1821,486,100047,87,121,2024-03-06
1822,504,100077,85,172,2024-03-06
1823,494,100028,50,247,2024-03-06
1824,483,100094,30,208,2024-03-06
1825,485,100064,39,94,2024-03-06
1826,490,100096,5,29,2024-03-06
1827,489,100040,99,49,2024-03-06
1828,486,100098,55,243,2024-03-06
1829,491,100075,65,174,2024-03-06
1830,486,100001,61,12,2024-03-06
1831,502,100078,66,172,2024-03-06
1832,511,100045,83,36,2024-03-06
1833,503,100067,88,38,2024-03-06
1834,500,100072,26,114,2024-03-06
1835,493,100065,41,233,2024-03-06
1836,492,100077,39,182,2024-03-06
1837,503,100038,14,36,2024-03-06
1838,516,100059,91,164,2024-03-06
1839,486,100077,5,120,2024-03-06
1840,485,100031,88,201,2024-03-06
1841,513,100037,62,247,2024-03-06
1842,516,100090,90,82,2024-03-06
1843,491,100023,88,85,2024-03-06
1844,502,100092,14,60,2024-03-06
1845,495,100056,11,78,2024-03-06
1846,492,100026,13,63,2024-03-06
1847,515,100058,77,54,2024-03-06
1848,489,100030,53,195,2024-03-06
1849,484,100082,13,81,2024-03-06
1850,503,100011,81,180,2024-03-06
1851,485,100093,29,172,2024-03-06
1852,485,100080,65,22,2024-03-06
1853,507,100037,75,26,2024-03-06
1854,494,100010,30,249,2024-03-06
1855,517,100068,46,44,2024-03-06
1856,493,100047,21,183,2024-03-06
1857,501,100039,97,54,2024-03-06
1858,493,100022,17,206,2024-03-06
1859,498,100053,69,56,2024-03-06
1860,499,100057,51,191,2024-03-06
1861,494,100038,88,114,2024-03-06
1862,497,100023,29,59,2024-03-06
1863,507,100080,16,35,2024-03-06
1864,489,100013,57,58,2024-03-06
1865,493,100020,27,52,2024-03-06
1866,481,100085,68,236,2024-03-06
1867,511,100034,40,129,2024-03-06
1868,510,100010,95,209,2024-03-06
1869,490,100058,54,56,2024-03-06
